Bits/Entry;Bloom;Blocked Bloom;Sectorized Bloom
6;11693742.0;12189635.0;14907244.0
12;3395471.0;5964940.0;7009575.0
18;1646358.0;4543145.0;5263330.0
24;1054895.0;3732676.0;4008592.0
30;890706.0;3051213.0;3379589.0
36;659830.0;2790987.0;2989472.0
